Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,539.000000,559.000000,534.000000,544.400024,495.615265,954847
2009-01-05,578.900024,578.900024,543.549988,557.049988,507.131714,906567
2009-01-06,552.000000,571.849976,546.349976,561.400024,511.091949,900915
2009-01-07,570.000000,579.700012,551.299988,565.150024,514.505981,1151237
2009-01-09,553.000000,596.000000,550.099976,585.849976,533.350952,1868205
2009-01-12,580.099976,596.750000,561.599976,579.349976,527.433350,1977203
2009-01-13,580.000000,595.000000,566.000000,587.500000,534.853149,1241692
2009-01-14,583.000000,604.000000,578.000000,595.750000,542.363831,1507556
2009-01-15,575.000000,598.200012,542.349976,589.950012,537.083496,1128362
2009-01-16,590.099976,597.900024,581.799988,589.650024,536.810364,1073629
2009-01-19,585.099976,585.099976,567.599976,573.900024,522.471741,754466
2009-01-20,567.900024,567.900024,556.099976,559.599976,509.453247,451963
2009-01-21,556.000000,561.700012,536.150024,539.750000,491.382080,893228
2009-01-22,540.450012,550.000000,513.099976,519.400024,472.855652,1104098
2009-01-23,520.000000,525.000000,502.299988,515.200012,469.031982,866109
2009-01-27,512.349976,547.000000,512.349976,537.650024,489.470215,768922
2009-01-28,540.000000,547.950012,511.250000,520.549988,473.902618,1180411
2009-01-29,526.200012,555.000000,521.200012,544.450012,495.660828,2407565
2009-01-30,535.000000,578.900024,531.000000,568.299988,517.373535,1711638
2009-02-02,561.000000,588.799988,555.000000,567.000000,516.190063,1262111
2009-02-03,570.000000,594.250000,570.000000,583.750000,531.439209,1028765
2009-02-04,587.500000,606.799988,585.500000,602.000000,548.053650,1544901
2009-02-05,585.599976,603.900024,571.400024,577.049988,525.339600,1405004
2009-02-06,579.000000,586.700012,572.000000,577.700012,525.931335,688414
2009-02-09,597.500000,598.900024,574.099976,595.200012,541.863159,543324
2009-02-10,590.000000,615.900024,589.299988,608.400024,553.880310,902011
2009-02-11,600.000000,634.000000,597.000000,632.299988,575.638367,1444048
2009-02-12,625.000000,628.000000,607.400024,613.849976,558.841736,990871
2009-02-13,616.299988,637.400024,616.299988,628.799988,572.452148,748940
2009-02-16,625.000000,641.000000,609.000000,622.099976,566.352478,1571925
2009-02-17,617.299988,617.299988,595.599976,602.599976,548.599915,939119
2009-02-18,604.000000,624.000000,593.000000,616.900024,561.618408,662741
2009-02-19,618.000000,637.400024,618.000000,631.799988,575.183289,1081568
2009-02-20,617.000000,635.900024,615.150024,629.500000,573.089294,1142555
2009-02-24,617.000000,647.849976,614.000000,641.200012,583.740906,1298015
2009-02-25,647.400024,669.400024,644.000000,663.900024,604.406738,2076359
2009-02-26,632.400024,709.400024,632.400024,690.750000,628.850647,2256838
2009-02-27,690.000000,690.000000,659.049988,677.299988,616.605835,2104027
2009-03-02,698.700012,698.700012,657.099976,674.599976,614.147888,1926425
2009-03-03,659.000000,687.599976,659.000000,671.250000,611.098206,1575564
2009-03-04,675.000000,688.900024,666.900024,683.299988,622.068237,1174421
2009-03-05,699.799988,699.799988,663.599976,668.250000,608.366943,957093
2009-03-06,679.000000,679.000000,643.299988,649.650024,591.433716,1699918
2009-03-09,674.799988,677.299988,640.400024,651.900024,593.482117,811568
2009-03-12,669.950012,697.299988,652.049988,689.750000,627.940247,1840605
2009-03-13,697.000000,719.500000,688.349976,713.150024,649.243347,1981774
2009-03-16,712.849976,715.950012,688.349976,698.750000,636.133728,1590378
2009-03-17,708.700012,715.000000,692.000000,709.750000,646.148071,1889619
2009-03-18,715.150024,728.000000,709.000000,717.599976,653.294556,1994396
2009-03-19,721.000000,744.000000,716.000000,730.900024,665.402771,1334739
2009-03-20,735.000000,735.000000,708.250000,710.950012,647.240479,608120
2009-03-23,719.000000,737.700012,717.099976,733.099976,667.405579,523613
2009-03-24,738.000000,756.000000,717.650024,734.049988,668.270386,3057474
2009-03-25,733.000000,753.799988,723.250000,733.900024,668.134033,1355965
2009-03-26,745.000000,799.000000,734.200012,770.150024,701.135437,2063956
2009-03-27,770.000000,774.650024,751.200012,768.500000,699.633362,997416
2009-03-30,760.000000,769.349976,732.349976,758.200012,690.256226,1086494
2009-03-31,761.000000,788.849976,751.500000,779.849976,709.966125,1993954
2009-04-01,780.000000,799.000000,765.049988,792.500000,721.482666,1232689
2009-04-02,801.650024,831.400024,780.000000,794.549988,723.348938,1537827
2009-04-06,797.650024,804.000000,785.049988,799.099976,727.491150,1075353
2009-04-08,785.000000,820.000000,770.049988,817.299988,744.060181,1223929
2009-04-09,820.000000,829.500000,798.299988,809.099976,736.595154,995199
2009-04-13,815.250000,839.000000,811.000000,822.799988,749.067444,922172
2009-04-15,815.000000,854.799988,807.000000,846.599976,770.734680,1421209
2009-04-16,852.000000,873.799988,845.000000,855.150024,778.518616,1121764
2009-04-17,851.000000,866.000000,825.349976,836.200012,761.266602,777892
2009-04-20,837.849976,854.000000,828.250000,836.349976,761.403137,398411
2009-04-21,827.000000,838.200012,777.250000,788.750000,718.068726,1276098
2009-04-22,828.799988,828.799988,741.000000,754.150024,686.569397,2283728
2009-04-23,755.000000,816.000000,743.000000,798.599976,727.035950,2416944
2009-04-24,808.000000,818.700012,763.500000,803.000000,731.041748,2607684
2009-04-27,779.500000,821.799988,773.599976,809.349976,736.822632,2957389
2009-04-28,806.000000,822.000000,790.500000,803.150024,731.178345,1269732
2009-04-29,809.000000,819.900024,784.299988,814.000000,741.056030,1808304
2009-04-30,814.000000,814.000000,814.000000,814.000000,741.056030,0
2009-05-04,821.349976,849.799988,820.250000,839.349976,764.134338,962631
2009-05-05,845.000000,859.000000,815.049988,831.650024,757.124451,1814271
2009-05-06,827.500000,837.900024,797.000000,808.549988,736.094299,2001503
2009-05-07,815.000000,843.900024,800.000000,839.400024,764.179871,1231223
2009-05-08,838.000000,845.950012,816.549988,828.299988,754.074463,582400
2009-05-11,836.000000,845.950012,819.250000,834.099976,759.354797,730642
2009-05-12,830.000000,875.500000,820.049988,863.900024,786.484497,1490336
2009-05-13,857.599976,872.000000,830.000000,839.049988,763.861267,1105675
2009-05-14,815.650024,841.849976,795.000000,832.700012,758.080322,773571
2009-05-15,842.000000,857.000000,837.000000,848.200012,772.191223,588323
2009-05-18,924.000000,954.000000,918.000000,938.200012,854.126282,22796
2009-05-19,960.000000,1064.000000,940.000000,999.900024,910.297241,2296571
2009-05-20,992.000000,1058.900024,981.400024,1041.849976,948.487915,1492589
2009-05-21,1026.000000,1041.849976,957.650024,969.250000,882.393738,1440592
2009-05-22,962.000000,974.900024,954.000000,961.950012,875.747925,1387314
2009-05-25,962.500000,985.500000,958.000000,973.349976,886.126343,553098
2009-05-26,973.500000,980.000000,948.000000,957.900024,872.060913,465220
2009-05-27,970.200012,983.000000,946.200012,974.500000,887.173279,584867
2009-05-28,974.500000,1028.800049,965.299988,1003.849976,913.893188,1886752
2009-05-29,1009.000000,1037.449951,983.000000,1027.099976,935.059692,1690981
2009-06-01,1025.000000,1062.000000,1025.000000,1042.400024,948.988647,750208
2009-06-02,1035.000000,1049.000000,1020.500000,1036.050049,943.207642,1394295
