Date,Open,High,Low,Close,Adj Close,Volume
2009-06-22,388.564117,391.020294,384.634277,387.778168,381.086365,30075
2009-06-23,388.072906,388.072906,368.423645,369.062225,362.693390,23679
2009-06-24,378.248260,380.164063,361.055176,364.788513,358.493408,22132
2009-06-25,368.423645,377.953522,368.423645,376.774567,370.272644,40049
2009-06-26,383.013214,395.637878,377.265808,391.462402,384.706970,15719
2009-06-29,410.669556,411.062531,393.967682,409.294098,402.230957,11805
2009-06-30,408.753754,408.753754,388.858856,388.858856,382.148407,6717
2009-07-01,373.335968,383.160583,369.455231,369.455231,363.079620,15776
2009-07-02,351.132294,380.213196,350.051575,365.574493,360.223724,19423
2009-07-03,370.388550,376.479828,365.574493,369.749969,364.338104,16382
2009-07-06,373.335968,382.178131,351.279663,351.770874,346.622192,43939
2009-07-07,341.897125,361.497284,339.932220,342.290131,337.280151,7951
2009-07-08,343.862061,347.742798,332.072510,338.311157,333.359497,8902
2009-07-09,335.019897,338.949738,329.125122,336.935699,332.004120,6310
2009-07-10,337.967285,341.897125,330.205841,334.528656,329.632324,5927
2009-07-13,338.949738,338.949738,319.447845,321.461914,316.756836,13036
2009-07-14,329.125122,337.967285,323.230347,330.942688,326.098816,5769
2009-07-15,341.700653,356.535828,333.054962,348.234009,343.137054,31266
2009-07-16,363.413086,383.062347,359.630585,363.658691,358.335938,42280
2009-07-17,368.423645,372.353485,356.634094,360.514801,355.238098,43992
2009-07-20,358.598999,368.128906,345.974365,355.995483,350.784943,16204
2009-07-21,351.721771,356.584961,346.907684,351.230530,346.089783,10377
2009-07-22,353.686707,355.651611,340.718170,343.911194,338.877533,28571
2009-07-23,334.037445,372.156982,334.037445,367.686798,362.305145,19296
2009-07-24,367.441162,380.213196,357.665680,371.911377,366.467865,21132
2009-07-27,375.988617,375.988617,363.806061,368.423645,363.031189,10496
2009-07-28,367.441162,367.441162,356.732330,358.697266,353.447205,27135
2009-07-29,353.686707,363.118347,337.525177,344.304169,339.264740,12084
2009-07-30,357.321808,357.321808,340.570801,341.651520,336.650940,13200
2009-07-31,343.862061,349.756836,331.090027,333.300598,328.422241,27253
2009-08-03,337.967285,342.732239,321.756653,330.549683,325.711548,59792
2009-08-04,333.742706,336.739197,329.125122,330.697052,325.856781,13537
2009-08-05,330.107574,336.002350,319.251373,321.167175,316.466370,24956
2009-08-06,321.167175,329.125122,316.353088,318.760132,314.094543,13422
2009-08-07,309.475861,319.300476,302.647736,305.005646,300.541443,9011
2009-08-10,313.258331,313.798706,293.756439,296.556458,292.215912,70972
2009-08-11,294.738922,301.616150,276.170349,280.935303,276.823364,29332
2009-08-12,279.707214,289.728363,270.177338,279.707214,275.613251,22348
2009-08-13,281.230042,292.773987,281.230042,286.535339,282.341400,17009
2009-08-14,286.879211,290.317841,281.131805,286.780945,282.583466,25703
2009-08-17,283.440582,289.826599,276.072113,279.412476,275.322784,6821
2009-08-18,287.714294,288.647644,276.317719,280.345825,276.242493,12794
2009-08-19,280.001953,281.966888,263.594818,267.426453,263.512177,11539
2009-08-20,267.229950,273.714203,258.387787,261.187805,257.364929,13322
2009-08-21,265.068512,269.980835,256.717590,263.152710,259.301056,34405
2009-08-24,272.142273,277.054565,265.314148,266.886078,262.979828,33968
2009-08-25,268.212402,292.823120,265.265015,272.584381,268.594696,68803
2009-08-26,278.822998,279.805481,273.124725,274.844025,270.821259,18345
2009-08-27,275.580872,285.749359,273.615967,280.394958,276.290924,44077
2009-08-28,283.931824,287.861664,281.966888,284.865143,280.695709,25446
2009-08-31,284.079193,287.370422,272.142273,274.401917,270.385590,29316
2009-09-01,278.037048,284.914276,275.138763,277.889679,273.822327,18218
2009-09-02,278.528259,282.801971,273.370331,276.808960,272.757416,12214
2009-09-03,282.458130,284.914276,270.177338,271.994904,268.013794,56209
2009-09-04,271.601898,281.966888,264.282562,267.524689,263.609009,35129
2009-09-07,269.194885,274.500183,269.194885,271.700165,267.723419,18185
2009-09-08,270.177338,273.615967,260.843933,263.496582,259.639954,39768
2009-09-09,270.177338,270.177338,259.370239,261.924652,258.091003,18068
2009-09-10,256.471985,266.738708,255.489517,257.012329,253.250534,31947
2009-09-11,258.387787,260.352692,244.633301,249.742096,246.086731,32470
2009-09-14,248.612274,256.422852,246.598221,248.563141,244.925018,13406
2009-09-15,250.528076,254.457932,246.598221,250.380707,246.715988,29312
2009-09-16,250.380707,255.440384,250.380707,252.885986,249.184631,19668
2009-09-17,253.475464,261.335175,253.475464,255.784256,252.040421,42852
2009-09-18,260.401825,286.879211,256.766724,270.668579,266.706940,273322
2009-09-22,269.636993,301.321411,269.096619,290.268707,286.020203,416370
2009-09-23,289.826599,305.447754,285.012512,287.665161,283.454742,169547
2009-09-24,284.914276,291.496796,278.037048,280.689697,276.581390,58166
2009-09-25,284.914276,290.317841,275.187897,279.068634,274.984009,57043
2009-09-29,284.816040,285.896729,272.633484,273.419464,269.417542,47465
2009-09-30,273.124725,278.773895,266.493103,273.566833,269.562714,41173
2009-10-01,267.475555,296.703827,267.475555,286.044098,281.857391,264074
2009-10-05,283.931824,305.545990,283.342346,296.212616,291.877106,476290
2009-10-06,298.668762,301.321411,285.061646,293.314331,289.021210,94874
2009-10-07,296.310852,306.921448,295.721375,300.093323,295.701019,103512
2009-10-08,311.440796,328.142639,306.528473,321.019806,316.321228,267015
2009-10-09,324.212799,336.002350,314.388184,316.598724,311.964844,162312
2009-10-12,321.167175,328.535645,317.875916,322.788239,318.063690,115768
2009-10-13,322.788239,322.788239,322.788239,322.788239,318.063690,0
2009-10-14,328.142639,343.763824,322.296997,338.851501,333.891815,317978
2009-10-15,341.897125,351.721771,329.075989,332.760223,327.889740,228955
2009-10-16,333.988312,336.002350,314.388184,316.303986,311.674377,106632
2009-10-20,331.090027,331.974274,320.282959,324.212799,319.467438,115322
2009-10-21,318.858368,331.090027,304.563538,322.591736,317.870087,191269
2009-10-22,322.591736,329.468964,318.367157,322.493500,317.773285,78086
2009-10-23,328.928619,329.125122,310.458313,313.356598,308.770081,55313
2009-10-26,313.405701,318.023285,300.731934,302.893341,298.460022,43405
2009-10-27,301.616150,319.300476,293.756439,295.328400,291.005829,89196
2009-10-28,288.402008,307.510925,288.402008,305.202148,300.734985,60457
2009-10-29,299.651215,326.030365,291.054688,311.342529,306.785553,74241
2009-10-30,319.251373,322.247864,300.142456,306.037231,301.557922,48783
2009-11-03,295.721375,313.798706,287.075684,289.384491,285.148895,25304
2009-11-04,298.668762,303.335449,290.907318,297.391571,293.038727,21840
2009-11-05,297.391571,303.974060,290.956421,296.703827,292.361115,20464
2009-11-06,301.616150,303.384583,290.809052,293.412598,289.118042,24749
2009-11-09,299.454742,300.535431,289.924835,296.065247,291.731873,113386
2009-11-10,296.703827,320.282959,293.068726,310.851318,306.301514,319948
2009-11-11,312.325012,312.325012,295.868744,306.528473,302.041962,169145
2009-11-12,306.675842,313.307465,301.763519,305.595123,301.122314,81083
2009-11-13,307.265320,308.493378,300.977539,307.560059,303.058411,39822
2009-11-16,307.019684,319.300476,305.545990,314.732025,310.125397,120446
2009-11-17,316.402222,342.879608,314.535553,340.423431,335.440796,356044
2009-11-18,338.949738,343.567322,324.261932,328.732117,323.920624,173090
2009-11-19,324.212799,337.967285,319.300476,322.051392,317.337646,79781
2009-11-20,319.398743,330.107574,319.398743,321.216278,316.514740,52183
2009-11-23,322.247864,333.988312,319.300476,324.409302,319.661041,48550
2009-11-24,324.212799,329.125122,320.381195,323.525085,318.789795,23482
2009-11-25,320.282959,328.142639,320.282959,321.511017,316.805176,26269
2009-11-26,324.212799,327.111053,310.654816,313.651337,309.060608,18524
2009-11-27,309.574097,319.791718,298.668762,307.167053,302.671173,26062
2009-11-30,314.928528,316.598724,303.581085,305.644257,301.170624,28849
2009-12-01,307.510925,319.300476,306.675842,315.812744,311.190308,145972
2009-12-02,314.388184,331.090027,311.588165,325.342621,320.580719,195891
2009-12-03,330.991791,335.805878,319.939087,325.981232,321.209991,316829
2009-12-04,325.981232,332.072510,322.591736,326.668945,321.887604,51804
2009-12-07,326.177734,335.609375,323.230347,329.518097,324.695068,140340
2009-12-08,330.893555,338.851501,328.633881,331.630402,326.776459,176010
2009-12-09,330.107574,333.054962,319.300476,323.033844,318.305725,47273
2009-12-10,322.935608,327.995270,319.300476,320.970673,316.272797,67241
2009-12-11,325.195251,326.570709,320.774170,322.935608,318.208984,367064
2009-12-14,322.739105,326.177734,319.300476,320.921539,316.224335,26592
2009-12-15,322.935608,322.935608,316.500458,319.546112,314.869049,27817
2009-12-16,316.647827,323.868927,316.647827,319.398743,314.723877,19721
2009-12-17,310.556580,342.388367,310.556580,334.921661,330.019531,295657
2009-12-18,336.002350,339.932220,319.791718,320.823303,316.127563,93734
2009-12-21,329.075989,329.075989,319.300476,319.447845,314.772217,40921
2009-12-22,319.300476,323.868927,319.104004,319.496979,314.820648,112888
2009-12-23,null,null,null,null,null,null
2009-12-24,null,null,null,null,null,null
2009-12-29,null,null,null,null,null,null
2009-12-30,null,null,null,null,null,null
2009-12-31,null,null,null,null,null,null
2010-01-04,343.321716,354.914764,340.177826,353.146332,347.977509,246992
2010-01-05,358.598999,365.181519,350.788422,353.932312,348.751923,195572
2010-01-06,353.686707,355.651611,343.960297,345.581360,340.523224,69104
2010-01-07,345.826996,350.690186,340.914673,342.879608,337.860992,47777
2010-01-08,346.809448,351.967377,341.897125,343.862061,338.829132,53881
2010-01-11,348.381378,349.265594,341.405914,345.384888,340.329620,138106
2010-01-12,348.676117,350.641052,335.019897,337.083069,332.149384,121662
2010-01-13,334.037445,334.921661,328.240906,333.497070,328.615814,94972
2010-01-14,336.002350,339.932220,333.054962,334.184814,329.293549,61631
2010-01-15,334.970764,344.844513,332.367249,337.525177,332.584961,71891
2010-01-18,330.844421,341.798889,330.844421,340.325195,335.343964,35950
2010-01-19,340.914673,350.248077,340.914673,346.563843,341.491302,105913
2010-01-20,345.826996,349.855072,341.455017,345.974365,340.910431,48858
2010-01-21,342.879608,348.774384,338.949738,341.848022,336.844574,68652
2010-01-22,332.661987,347.251556,329.174225,342.388367,337.376984,69051
2010-01-25,343.763824,344.795410,334.037445,337.426941,332.488159,62428
2010-01-27,334.037445,336.984833,316.107483,320.086456,315.401489,121678
2010-01-28,333.447968,333.447968,310.458313,315.272400,310.657867,37236
2010-01-29,312.275879,316.844330,304.907410,313.012726,308.431244,39900
2010-02-01,313.012726,335.019897,309.475861,324.212799,319.467438,324127
2010-02-02,329.075989,333.791809,320.430328,324.556671,319.806244,110830
2010-02-03,318.318024,335.019897,318.318024,332.269012,327.405701,139310
2010-02-04,334.037445,336.493591,331.090027,333.890076,329.003052,319424
2010-02-05,314.388184,343.812927,314.388184,340.767303,335.779602,61000
2010-02-06,null,null,null,null,null,null
2010-02-08,338.949738,355.307770,338.016418,353.195465,348.025879,106095
2010-02-09,353.195465,353.195465,341.798889,342.486603,337.473846,49920
2010-02-10,351.721771,351.721771,331.974274,335.118134,330.213165,16880
2010-02-11,336.984833,344.844513,329.468964,331.826904,326.970123,24036
2010-02-15,333.054962,341.897125,331.090027,331.925140,327.066895,19401
2010-02-16,340.914673,340.914673,319.791718,326.226837,321.452026,1130989
2010-02-17,333.840942,333.840942,324.212799,324.556671,319.806244,49005
2010-02-18,320.479431,330.991791,320.479431,324.949646,320.193512,11470
2010-02-19,324.212799,327.111053,321.756653,324.261932,319.515900,14041
2010-02-22,329.075989,331.090027,323.328583,324.261932,319.515900,35283
2010-02-23,325.195251,327.111053,320.528564,325.686493,320.919495,28214
2010-02-24,326.177734,327.160187,322.247864,324.507538,319.757904,14496
2010-02-25,324.507538,327.946167,324.507538,325.735626,320.968018,16500
2010-02-26,325.735626,347.791901,325.735626,341.012909,336.021698,211426
2010-03-02,338.949738,353.686707,337.967285,340.816437,335.828094,243216
2010-03-03,340.914673,346.809448,334.037445,335.609375,330.697235,51775
2010-03-04,339.932220,341.848022,329.468964,332.219879,327.357300,37910
2010-03-05,331.335663,338.409393,329.419861,331.139160,326.292450,46320
2010-03-08,336.984833,337.967285,327.160187,328.339142,323.533386,34812
2010-03-09,329.125122,337.869049,328.191772,331.483032,326.631256,39812
2010-03-10,331.188293,342.781342,329.272491,338.654999,333.698212,212034
2010-03-11,330.254944,342.781342,330.254944,332.219879,327.357300,84808
2010-03-12,330.107574,336.886566,319.496979,324.998779,320.241882,237136
2010-03-15,326.177734,326.914581,322.346130,324.163666,319.419037,70624
2010-03-16,321.265411,330.107574,321.265411,324.753143,319.999908,36336
2010-03-17,324.654907,327.847900,322.346130,324.114563,319.370667,452027
2010-03-18,327.061951,327.160187,320.774170,323.672455,318.935028,295483
2010-03-19,322.149628,324.507538,321.756653,324.016296,319.273865,322895
2010-03-22,319.742584,323.230347,310.753052,312.325012,307.753632,82987
2010-03-23,314.240814,320.282959,312.423248,313.209229,308.624939,94788
2010-03-25,309.672333,319.791718,309.475861,311.440796,306.882385,1903684
2010-03-26,311.440796,329.125122,311.440796,316.402222,311.771210,350322
2010-03-29,315.665375,322.444366,314.388184,318.612762,313.949341,38453
2010-03-30,318.318024,335.904114,317.286438,330.549683,325.711548,122310
2010-03-31,332.072510,336.002350,328.388275,330.254944,325.421143,40011
2010-04-01,315.714508,341.897125,315.714508,338.851501,333.891815,63004
2010-04-05,334.037445,342.388367,334.037445,340.472565,335.489227,25630
2010-04-06,338.949738,340.914673,334.086548,336.886566,331.955688,19251
2010-04-07,335.019897,340.718170,334.037445,336.297089,331.374786,15794
2010-04-08,331.090027,348.528748,331.090027,343.812927,338.780701,130302
2010-04-09,344.844513,355.111267,337.967285,352.802490,347.638672,84595
2010-04-12,346.809448,362.528870,340.914673,353.293701,348.122681,105882
2010-04-13,353.686707,362.430603,344.844513,346.465576,341.394531,50182
2010-04-15,346.907684,353.686707,316.353088,321.216278,316.514740,1414177
2010-04-16,321.216278,324.998779,299.945953,302.549500,298.121246,456191
2010-04-19,299.651215,305.054779,294.738922,300.486328,296.088226,160721
2010-04-20,304.563538,309.475861,301.616150,307.854797,303.348907,135263
2010-04-21,309.475861,318.465393,307.609161,313.160095,308.576538,226280
2010-04-22,312.423248,320.577698,312.423248,315.763611,311.141937,75504
2010-04-23,316.353088,318.318024,313.503967,316.303986,311.674377,38093
2010-04-26,314.781158,321.953125,312.914490,321.265411,316.563202,83059
2010-04-27,323.230347,323.230347,316.893463,317.925049,313.271759,30287
2010-04-28,314.093445,325.882996,310.753052,321.216278,316.514740,873561
2010-04-29,318.318024,335.019897,318.318024,333.251465,328.373840,133947
2010-04-30,334.037445,340.914673,333.546204,337.918152,332.972168,137326
2010-05-03,338.949738,343.812927,336.297089,339.146240,334.182312,34081
2010-05-04,338.949738,343.862061,332.072510,333.153229,328.277008,41390
2010-05-05,349.265594,399.813324,319.300476,391.118530,385.393890,3961661
2010-05-06,393.967682,418.529266,393.967682,405.658997,399.721527,3293819
2010-05-07,393.967682,398.830872,385.125519,391.020294,385.297089,621808
2010-05-10,398.880005,444.368042,394.065918,431.055664,424.746490,1707528
2010-05-11,436.213593,450.459290,419.659088,426.094208,419.857666,1332126
2010-05-12,429.336334,467.652405,426.438080,460.480438,453.740601,2197640
2010-05-13,466.669952,525.126465,464.705017,502.873718,495.513367,5328301
2010-05-14,499.877197,539.372192,483.666565,527.631775,519.909058,5763337
2010-05-17,520.705383,548.017883,512.747437,522.670349,515.020203,2762816
2010-05-18,525.617737,535.933594,473.547180,477.771759,470.778839,1703381
2010-05-19,473.055939,492.999939,451.147034,459.596222,452.869293,1854826
2010-05-20,465.687469,481.406891,440.143433,444.024170,437.525146,785730
2010-05-21,437.196045,457.336548,422.852081,449.329468,442.752838,1387835
2010-05-24,459.399719,461.020782,415.139740,421.476654,415.307648,734000
2010-05-25,403.792297,431.006531,397.897522,417.252045,411.144897,1510653
2010-05-26,431.301270,438.080261,417.743286,433.413574,427.069885,886673
2010-05-27,430.810028,443.778564,428.452118,438.129395,431.716644,613105
2010-05-28,444.073303,446.038208,432.873199,435.722351,429.344879,307252
2010-05-31,450.508423,450.508423,429.336334,433.266205,426.924683,334058
2010-06-01,431.104767,458.613739,431.104767,448.150513,441.591125,609447
2010-06-02,451.834747,458.810242,448.150513,454.340027,447.690033,269397
2010-06-03,463.575195,478.852478,456.354065,474.971741,468.019775,473906
2010-06-04,469.322601,479.441956,459.055847,461.659393,454.902313,248055
2010-06-07,456.845306,458.810242,443.090820,450.606659,444.011322,124850
2010-06-08,455.126007,456.845306,433.266205,440.045197,433.604462,183811
2010-06-09,484.059540,484.059540,452.915466,458.761108,452.046417,2004694
2010-06-10,463.722565,464.213776,452.375092,458.319000,451.610840,563535
2010-06-11,462.248871,465.490997,453.406677,455.911957,449.238922,263604
2010-06-14,459.792694,462.838348,448.985596,453.455811,446.818756,189595
2010-06-15,456.845306,456.845306,444.761017,445.989105,439.461365,132929
2010-06-16,448.003143,456.845306,444.171539,446.873322,440.332642,121840
2010-06-17,444.073303,453.848785,439.062744,440.880280,434.427277,104799
2010-06-18,427.371429,427.371429,396.816833,396.816833,391.008759,2468591
2010-06-21,399.862457,421.280151,399.862457,409.932709,403.932648,1095684
2010-06-22,397.995789,416.367828,397.995789,409.883575,403.884277,291426
2010-06-23,405.757233,418.431000,404.774780,410.866028,404.852356,237468
2010-06-24,407.869537,417.399414,407.869537,411.750244,405.723572,197496
2010-06-25,412.634460,419.953827,410.178314,414.697632,408.627869,241480
2010-06-28,417.252045,420.494171,408.704620,418.283630,412.161346,150467
2010-06-29,403.153717,437.196045,403.153717,431.890747,425.569305,1064948
2010-06-30,427.273163,432.283722,416.957306,429.483704,423.197571,292887
2010-07-01,430.318817,437.687286,423.441559,425.111755,418.889587,150131
2010-07-02,429.336334,432.774963,417.645050,423.195953,417.001831,101206
2010-07-05,423.932800,427.371429,417.939789,421.034546,414.872040,105644
2010-07-06,422.409973,423.932800,415.729248,417.890656,411.774200,63183
2010-07-07,421.280151,423.441559,418.529266,419.609955,413.468262,80505
2010-07-08,422.459106,426.388947,414.943268,416.171356,411.042480,102002
2010-07-09,418.431000,419.904694,408.704620,410.718658,405.656921,104605
2010-07-12,407.918640,432.283722,407.918640,422.704712,417.495300,362024
2010-07-13,425.357361,425.357361,416.564331,417.792419,412.643555,78499
2010-07-14,418.136261,422.459106,411.652008,413.911682,408.810608,100558
2010-07-15,411.160767,416.564331,407.722168,408.950226,403.910309,80689
2010-07-16,408.704620,412.634460,406.985321,408.409882,403.376617,74214
2010-07-19,410.669556,420.985413,403.939667,417.939789,412.789063,188404
2010-07-20,420.002960,431.104767,420.002960,424.817017,419.581543,230755
2010-07-21,425.406494,439.160980,423.441559,426.732819,421.473724,540468
2010-07-22,436.213593,437.097809,423.638062,425.602997,420.357819,238372
2010-07-23,428.353882,430.220551,416.662567,418.971375,413.807983,75900
2010-07-26,420.985413,420.985413,386.697449,414.943268,409.829498,151577
2010-07-27,417.546783,428.353882,414.599396,422.409973,417.204163,151135
2010-07-28,423.441559,424.915253,416.662567,419.020477,413.856445,92564
2010-07-29,419.020477,426.388947,413.125702,424.031036,418.805298,114516
2010-07-30,420.494171,427.125793,418.529266,422.704712,417.495300,70860
2010-08-02,423.539825,431.301270,422.459106,424.325775,419.096405,49996
2010-08-03,421.476654,433.266205,421.476654,424.129303,418.902313,74718
2010-08-04,424.129303,428.304749,422.508240,426.929321,421.667816,57612
2010-08-05,426.388947,431.988983,423.441559,427.617035,422.347046,93132
2010-08-06,425.111755,431.792511,425.111755,427.224060,421.958954,76756
2010-08-09,427.960907,430.318817,423.441559,427.666168,422.395538,39500
2010-08-10,428.353882,428.353882,423.638062,426.585449,421.328156,53681
2010-08-11,425.406494,472.564728,425.406494,449.968079,444.422638,1877068
2010-08-12,451.932983,476.101593,451.932983,472.319092,466.498230,1014426
2010-08-13,480.424438,489.954315,463.968170,469.224335,463.441589,561305
2010-08-16,469.813812,476.003326,454.880371,462.396240,456.697662,172814
2010-08-17,471.582245,472.171722,458.466370,462.101501,456.406616,94106
