Date,Open,High,Low,Close,Adj Close,Volume
2011-06-06,234.529999,239.070007,233.020004,236.244995,222.114731,22647510
2011-06-13,235.315002,239.800003,233.365005,234.929993,220.878387,28492710
2011-06-20,234.214996,238.994995,227.195007,238.315002,224.060913,28404810
2011-06-27,238.300003,254.759995,237.264999,250.125000,235.164536,46678460
2011-07-04,253.500000,258.329987,251.240005,255.914993,240.608231,33306890
2011-07-11,255.899994,256.649994,246.020004,254.475006,239.254318,22476558
2011-07-18,255.975006,259.500000,247.250000,250.774994,235.775665,28093174
2011-07-25,250.774994,255.100006,240.550003,243.399994,228.841766,34211646
2011-08-01,246.725006,247.975006,228.550003,236.524994,222.377960,22506230
2011-08-08,231.500000,247.399994,224.925003,234.024994,220.027512,34044430
2011-08-15,234.024994,239.199997,225.000000,230.425003,216.642838,32784442
2011-08-22,230.024994,231.975006,218.074997,219.475006,206.347763,36260604
2011-08-29,222.250000,242.000000,221.574997,236.399994,222.260437,21190320
2011-09-05,234.899994,244.975006,230.000000,236.625000,222.472000,31451772
2011-09-12,233.500000,245.000000,230.524994,241.850006,227.384476,20797124
2011-09-19,240.949997,248.824997,226.250000,228.199997,214.550903,38109098
2011-09-26,228.000000,237.399994,219.725006,233.824997,219.839462,55296720
2011-10-03,230.074997,232.449997,218.274994,225.000000,211.542313,34260712
2011-10-10,226.000000,238.199997,225.024994,236.949997,222.777542,35226252
2011-10-17,238.300003,247.300003,236.000000,243.500000,228.935776,26544768
2011-10-24,246.375000,248.500000,224.274994,241.324997,226.890869,56203922
2011-10-31,241.500000,246.500000,236.050003,241.500000,227.055450,26785804
2011-11-07,241.500000,243.675003,231.300003,232.024994,218.147110,13103916
2011-11-14,234.949997,239.925003,225.050003,229.149994,215.444077,26744284
2011-11-21,228.000000,228.000000,205.649994,215.449997,202.563507,49384816
2011-11-28,218.000000,233.949997,214.600006,233.000000,219.063797,39552050
2011-12-05,231.850006,235.449997,220.250000,221.875000,208.604233,23045042
2011-12-12,224.050003,225.475006,205.000000,207.649994,195.230026,53844360
2011-12-19,206.024994,223.250000,200.125000,218.774994,205.689636,43871670
2011-12-26,219.500000,222.699997,211.050003,213.425003,200.659637,18567190
2012-01-02,214.449997,228.574997,209.750000,226.649994,213.093613,19183542
2012-01-09,225.949997,236.524994,223.000000,234.800003,220.756165,20261474
2012-01-16,233.399994,246.725006,229.125000,245.274994,230.604630,32537558
2012-01-23,243.000000,252.000000,239.824997,242.100006,227.619522,26147208
2012-01-30,241.475006,254.000000,236.500000,253.125000,237.985123,35203086
2012-02-06,255.000000,262.975006,250.000000,258.750000,243.273651,36125838
2012-02-13,259.325012,268.924988,257.524994,264.149994,248.350677,34726324
2012-02-20,264.149994,269.450012,257.674988,262.325012,246.634842,31115080
2012-02-27,263.450012,269.950012,252.649994,259.375000,243.861298,35213132
2012-03-05,260.000000,263.500000,248.774994,261.600006,245.953186,19270620
2012-03-12,267.000000,267.250000,252.500000,253.925003,238.737244,30883870
2012-03-19,255.024994,261.200012,246.500000,256.975006,241.604843,26486420
2012-03-26,256.750000,261.924988,252.500000,259.924988,244.378387,28899926
2012-04-02,259.000000,268.200012,258.049988,263.274994,247.528030,11313410
2012-04-09,261.875000,268.875000,257.924988,264.674988,248.844254,20135388
2012-04-16,264.450012,279.000000,260.549988,275.549988,259.068787,38576976
2012-04-23,275.975006,278.000000,267.100006,270.575012,254.391434,20932394
2012-04-30,271.899994,279.000000,267.325012,268.750000,252.675522,20541902
2012-05-07,265.950012,268.200012,252.699997,255.274994,240.006516,31577112
2012-05-14,255.375000,255.899994,243.000000,250.274994,235.305542,28624060
2012-05-21,250.125000,253.925003,241.100006,250.000000,235.047028,27534428
2012-05-28,250.600006,255.975006,245.000000,245.199997,230.534103,31847512
2012-06-04,244.000000,271.375000,242.524994,269.549988,253.427658,43143304
2012-06-11,270.549988,276.200012,266.325012,273.774994,257.399963,25482616
2012-06-18,276.000000,276.000000,263.149994,272.174988,255.895645,24727072
2012-06-25,272.700012,282.450012,267.500000,281.774994,264.921509,24483438
2012-07-02,282.000000,294.500000,280.000000,290.750000,275.517639,26800828
2012-07-09,289.975006,296.899994,284.549988,293.524994,278.147217,25297970
2012-07-16,294.000000,296.350006,289.299988,291.299988,276.038818,18738452
2012-07-23,288.700012,294.350006,281.500000,292.299988,276.986450,25676054
2012-07-30,293.549988,295.950012,288.649994,294.100006,278.692169,20782820
2012-08-06,296.575012,303.500000,296.500000,301.075012,285.301758,28305798
2012-08-13,300.000000,304.750000,295.899994,297.549988,281.961395,17738362
2012-08-20,297.549988,302.274994,294.100006,298.149994,282.529938,17027562
2012-08-27,297.500000,301.000000,293.000000,297.674988,282.079834,27447730
2012-09-03,298.774994,298.899994,292.850006,295.200012,279.734528,20835738
2012-09-10,295.750000,307.375000,291.674988,306.375000,290.324066,23954216
2012-09-17,309.500000,314.500000,300.500000,312.575012,296.199219,32610100
2012-09-24,312.750000,319.450012,311.399994,314.575012,298.094452,33430482
2012-10-01,314.500000,319.325012,252.524994,311.200012,294.896271,23343050
2012-10-08,311.950012,317.500000,308.100006,315.575012,299.042053,21607898
2012-10-15,316.200012,318.950012,311.299988,314.250000,297.786469,17976768
2012-10-22,312.600006,320.500000,312.600006,318.674988,301.979645,16792852
2012-10-29,318.924988,322.399994,313.750000,315.149994,298.639343,17165716
2012-11-05,316.000000,322.500000,315.375000,319.674988,302.927246,13894724
2012-11-12,318.625000,326.899994,318.625000,321.125000,304.301300,15601310
2012-11-19,319.875000,336.299988,319.725006,334.875000,317.330933,20880898
2012-11-26,336.500000,352.750000,330.049988,351.975006,333.535065,31411476
2012-12-03,350.000000,350.575012,340.399994,346.549988,328.394287,24188436
2012-12-10,345.000000,349.500000,342.674988,344.375000,326.333252,22109142
2012-12-17,343.950012,344.625000,334.875000,338.000000,320.292175,31720644
2012-12-24,340.000000,342.424988,335.899994,338.825012,321.074005,14043950
2012-12-31,338.500000,345.000000,336.399994,339.674988,321.879456,19436668
2013-01-07,341.850006,341.850006,332.850006,334.649994,317.117706,26587762
2013-01-14,334.075012,337.725006,327.024994,331.424988,314.061676,30936358
2013-01-21,330.000000,333.500000,323.774994,332.524994,315.104034,19079140
2013-01-28,332.625000,336.000000,318.100006,320.075012,303.306305,26870964
2013-02-04,320.575012,326.700012,317.274994,325.024994,307.996979,27859450
2013-02-11,325.000000,340.399994,325.000000,338.375000,320.647614,37840830
2013-02-18,339.000000,340.450012,328.774994,329.649994,312.379669,18642958
2013-02-25,331.625000,332.600006,308.149994,311.250000,294.943634,38637326
2013-03-04,310.174988,330.000000,309.000000,328.649994,311.432068,25004270
2013-03-11,328.649994,329.850006,307.674988,319.700012,302.950958,35333862
2013-03-18,316.500000,327.000000,301.299988,302.625000,286.770508,46452654
2013-03-25,305.500000,315.575012,301.274994,312.674988,296.294006,29984736
2013-04-01,312.325012,317.149994,306.700012,310.475006,294.209259,20705856
2013-04-08,309.475006,322.924988,308.700012,321.850006,304.988312,39414594
2013-04-15,321.049988,337.700012,317.500000,336.799988,319.155060,26922406
2013-04-22,337.350006,351.000000,337.350006,344.549988,326.499054,39093790
2013-04-29,344.125000,348.424988,338.399994,340.475006,322.637543,24408778
2013-05-06,339.500000,352.450012,334.975006,351.674988,333.250763,22931248
2013-05-13,352.500000,362.000000,342.549988,359.450012,340.618469,27450798
2013-05-20,359.750000,362.000000,347.149994,350.674988,332.303192,18314854
2013-05-27,349.299988,363.649994,348.850006,350.250000,331.900421,24163484
2013-06-03,349.000000,350.700012,336.600006,338.075012,320.363312,18871380
2013-06-10,340.524994,343.500000,326.674988,332.524994,315.104034,25059736
2013-06-17,332.799988,334.600006,315.049988,317.625000,303.498749,34101160
2013-06-24,315.899994,336.600006,310.000000,334.750000,319.862152,44008372
2013-07-01,334.500000,337.000000,321.799988,333.875000,319.026093,25771326
2013-07-08,332.000000,348.850006,326.375000,347.875000,332.403412,23791244
2013-07-15,345.500000,349.024994,323.950012,340.000000,324.878632,34457780
2013-07-22,338.000000,345.000000,319.000000,322.049988,307.726929,27063856
2013-07-29,321.500000,321.500000,303.450012,315.625000,301.587708,49950142
2013-08-05,315.774994,317.725006,300.000000,305.250000,291.674133,38230728
2013-08-12,305.024994,312.399994,292.450012,293.950012,280.876740,36383268
2013-08-19,293.500000,309.674988,283.250000,303.774994,290.264709,62801578
2013-08-26,306.174988,311.399994,264.000000,297.000000,283.791016,91885726
2013-09-02,299.000000,311.450012,278.524994,308.100006,294.397400,55420494
2013-09-09,308.100006,325.000000,308.100006,314.600006,300.608307,33084442
2013-09-16,318.750000,344.950012,314.500000,329.524994,314.869537,42783988
2013-09-23,325.500000,326.174988,302.500000,304.450012,290.909698,46066240
2013-09-30,303.000000,323.700012,293.850006,320.225006,305.983124,26730412
2013-10-07,318.250000,331.875000,309.125000,330.649994,315.944489,26047228
2013-10-14,328.774994,339.774994,321.274994,338.299988,323.254211,32175908
2013-10-21,337.000000,339.399994,326.899994,336.274994,321.319336,27398638
2013-10-28,336.500000,344.500000,327.774994,341.899994,326.694153,33815838
2013-11-04,341.899994,342.500000,322.325012,326.250000,311.740173,20069512
2013-11-11,322.000000,331.524994,308.350006,321.100006,306.819214,21692284
2013-11-18,325.700012,335.000000,317.549988,321.075012,306.795380,25156546
2013-11-25,324.024994,334.450012,322.049988,330.649994,315.944489,31783440
2013-12-02,331.000000,344.950012,326.325012,341.350006,326.168579,37856362
2013-12-09,355.000000,358.700012,342.500000,344.975006,329.632355,50402030
2013-12-16,344.000000,345.450012,324.774994,332.299988,317.521088,34602094
2013-12-23,329.000000,337.725006,327.524994,334.825012,319.933807,11298350
2013-12-30,338.399994,338.500000,325.000000,331.549988,316.804443,13861764
2014-01-06,331.500000,337.350006,326.649994,331.024994,316.302765,14218900
2014-01-13,330.049988,342.500000,328.450012,332.500000,317.712219,30416786
2014-01-20,334.049988,342.350006,331.850006,336.700012,321.725433,16605634
2014-01-27,332.450012,332.450012,312.549988,314.250000,300.273865,33736620
2014-02-03,314.975006,327.250000,308.399994,323.875000,309.470795,18293960
2014-02-10,323.825012,326.399994,314.674988,320.899994,306.628113,12293474
2014-02-17,321.000000,336.125000,320.549988,332.200012,317.425598,9611524
2014-02-24,331.049988,341.450012,327.875000,334.799988,319.909912,9247234
2014-03-03,332.600006,357.450012,331.250000,355.725006,339.904297,20922766
2014-03-10,353.250000,374.750000,350.000000,366.075012,349.793976,34945736
2014-03-17,366.075012,372.399994,364.000000,366.924988,350.606171,13439268
2014-03-24,367.250000,380.375000,367.000000,372.475006,355.909332,32935048
2014-03-31,373.975006,376.774994,360.024994,362.725006,346.592957,19847562
